"SUPERBANTAMWEIGHT";"Homme";"Kickboxing";"ISKA";0.0;104
"FEATHERWEIGHT";"Homme";"Kickboxing";"ISKA";104.1;108
"LIGHTWEIGHT";"Homme";"Kickboxing";"ISKA";108.1;112
"SUPERLIGHTWEIGHT";"Homme";"Kickboxing";"ISKA";112.1;116
"LIGHT WELTERWEIGHT";"Homme";"Kickboxing";"ISKA";116.1;120
"WELTERWEIGHT";"Homme";"Kickboxing";"ISKA";120.1;125
"SUPERWELTERWEIGHT";"Homme";"Kickboxing";"ISKA";125.1;130
"LIGHT MIDDLEWEIGHT";"Homme";"Kickboxing";"ISKA";130.1;136
"MIDDLEWEIGHT";"Homme";"Kickboxing";"ISKA";136.1;142
"SUPERMIDDLEWEIGHT";"Homme";"Kickboxing";"ISKA";142.1;149
"LIGHT HEAVYWEIGHT";"Homme";"Kickboxing";"ISKA";149.1;156
"LIGHT CRUISERWEIGHT";"Homme";"Kickboxing";"ISKA";156.1;164
"CRUISERWEIGHT";"Homme";"Kickboxing";"ISKA";164.1;172
"SUPERCRUISERWEIGHT";"Homme";"Kickboxing";"ISKA";172.1;182
"HEAVYWEIGHT";"Homme";"Kickboxing";"ISKA";182.1;195
"SUPERHEAVYWEIGHT";"Homme";"Kickboxing";"ISKA";195.1;1000
